
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  41396 Services                   0     17.552 K
svchost.exe                  26672 Services                   0      5.128 K
Razer Synapse Service Pro    31556 Console                    6     45.488 K
nvcontainer.exe              13800 Console                    6     26.484 K
nvcontainer.exe               8520 Console                    6     50.092 K
sihost.exe                   44116 Console                    6     30.392 K
svchost.exe                  46520 Console                    6     28.228 K
svchost.exe                  36708 Console                    6     42.308 K
HPJumpStartLaunch.exe        20548 Console                    6      2.608 K
taskhostw.exe                49076 Console                    6     19.768 K
explorer.exe                 25832 Console                    6    177.536 K
svchost.exe                  47884 Console                    6     23.936 K
ctfmon.exe                   19088 Console                    6     24.748 K
NVIDIA Web Helper.exe        25380 Console                    6     11.796 K
SettingSyncHost.exe          46888 Console                    6      6.220 K
conhost.exe                  44748 Console                    6      1.060 K
StartMenuExperienceHost.e    45304 Console                    6     96.628 K
avpui.exe                    48104 Console                    6     18.132 K
RuntimeBroker.exe            41512 Console                    6     27.228 K
svchost.exe                  46404 Services                   0      7.672 K
SearchApp.exe                36768 Console                    6    185.792 K
RuntimeBroker.exe            28316 Console                    6     37.700 K
YourPhone.exe                31216 Console                    6     65.424 K
RuntimeBroker.exe            19888 Console                    6     21.912 K
TextInputHost.exe            15468 Console                    6     47.160 K
SecurityHealthSystray.exe     9180 Console                    6      8.752 K
LightingBar.exe              36888 Console                    6     12.080 K
steam.exe                    36288 Console                    6     56.120 K
RadeonSettings.exe           41536 Console                    6     32.020 K
svchost.exe                  32180 Console                    6     20.236 K
AMDRSServ.exe                 1520 Console                    6      5.988 K
dllhost.exe                  40928 Console                    6     13.104 K
RuntimeBroker.exe            17624 Console                    6     14.304 K
YourPhoneServer.exe          40344 Console                    6     66.300 K
nvsphelper64.exe             49520 Console                    6     12.420 K
NVIDIA Share.exe             49344 Console                    6     67.868 K
NVIDIA Share.exe             28640 Console                    6     46.000 K
NVIDIA Share.exe             35208 Console                    6     66.672 K
CompPkgSrv.exe               44428 Console                    6      9.204 K
EpicGamesLauncher.exe        50248 Console                    6     80.660 K
BakkesMod.exe                51132 Console                    6     20.452 K
DiscordCanary.exe            50856 Console                    6     83.232 K
Cortana.exe                  21688 Console                    6     58.000 K
HPMSGSVC.exe                 51800 Console                    6      9.720 K
DiscordCanary.exe            51828 Console                    6     22.748 K
RuntimeBroker.exe            52056 Console                    6     21.012 K
DiscordCanary.exe            52140 Console                    6    153.872 K
RtlS5Wake.exe                52216 Console                    6     12.828 K
DiscordCanary.exe            51536 Console                    6     39.596 K
unsecapp.exe                 37092 Console                    6      7.412 K
svchost.exe                  52312 Console                    6     20.564 K
DiscordCanary.exe            52404 Console                    6    601.440 K
DiscordCanary.exe            44336 Console                    6     56.952 K
EpicWebHelper.exe            49876 Console                    6     38.596 K
HPAudioSwitch.exe            53076 Console                    6     39.068 K
RtkNGUI64.exe                53068 Console                    6      2.760 K
steamwebhelper.exe           51640 Console                    6     51.184 K
SteamService.exe             41516 Services                   0     10.404 K
steamwebhelper.exe           52908 Console                    6     13.912 K
steamwebhelper.exe           52568 Console                    6     57.824 K
steamwebhelper.exe           50564 Console                    6     24.752 K
EpicWebHelper.exe            50260 Console                    6     28.164 K
steamwebhelper.exe           35636 Console                    6     55.584 K
steamwebhelper.exe           42648 Console                    6     93.320 K
DataExchangeHost.exe         49300 Console                    6     19.736 K
SystemSettings.exe            2712 Console                    6      2.156 K
ApplicationFrameHost.exe     14540 Console                    6     34.792 K
UserOOBEBroker.exe           23336 Console                    6      9.004 K
Microsoft.Photos.exe         42056 Console                    6      3.444 K
RuntimeBroker.exe            49384 Console                    6     17.612 K
Music.UI.exe                 45568 Console                    6      1.916 K
Calculator.exe               40880 Console                    6      1.992 K
RuntimeBroker.exe            51616 Console                    6      6.488 K
rundll32.exe                 18952 Console                    6      8.724 K
svchost.exe                  32628 Console                    6     12.480 K
ShellExperienceHost.exe      50000 Console                    6     74.528 K
RuntimeBroker.exe            52824 Console                    6     19.848 K
steamwebhelper.exe           44316 Console                    6     90.364 K
svchost.exe                  35460 Services                   0     10.340 K
WINWORD.EXE                  54176 Console                    6    111.472 K
audiodg.exe                  53364 Services                   0     18.708 K
chrome.exe                   53372 Console                    6    208.700 K
chrome.exe                   53132 Console                    6      6.744 K
chrome.exe                    4664 Console                    6    210.836 K
chrome.exe                   24540 Console                    6     39.464 K
chrome.exe                   53428 Console                    6     16.372 K
chrome.exe                   38676 Console                    6    148.956 K
chrome.exe                   35996 Console                    6     60.924 K
chrome.exe                   47296 Console                    6     56.292 K
chrome.exe                   33076 Console                    6     57.368 K
chrome.exe                   16732 Console                    6     61.076 K
chrome.exe                   44280 Console                    6     29.456 K
chrome.exe                   53504 Console                    6     45.576 K
cmd.exe                      27660 Console                    6      3.572 K
conhost.exe                  44956 Console                    6      6.944 K
plugins_nms.exe               1100 Console                    6      9.884 K
chrome.exe                   43512 Console                    6     19.288 K
chrome.exe                   50416 Console                    6    226.568 K
svchost.exe                  55108 Services                   0     12.132 K
chrome.exe                   55788 Console                    6    622.864 K
chrome.exe                   55976 Console                    6    159.848 K
smartscreen.exe              56452 Console                    6     25.132 K
GitHubDesktop.exe            54528 Console                    6     94.084 K
GitHubDesktop.exe            49696 Console                    6     94.536 K
GitHubDesktop.exe            35608 Console                    6     39.208 K
GitHubDesktop.exe            57012 Console                    6    101.520 K
chrome.exe                   56516 Console                    6     78.220 K
Code.exe                     57356 Console                    6     81.076 K
Code.exe                     55724 Console                    6     24.432 K
Code.exe                     54556 Console                    6     88.696 K
Code.exe                     54684 Console                    6     39.984 K
Code.exe                     29888 Console                    6    148.112 K
svchost.exe                  58436 Services                   0     18.232 K
Code.exe                     58516 Console                    6    112.476 K
Code.exe                     58600 Console                    6     78.940 K
CodeHelper.exe               58692 Console                    6     16.496 K
conhost.exe                  58704 Console                    6     10.864 K
Code.exe                     58800 Console                    6     62.600 K
Code.exe                     58904 Console                    6     67.748 K
chrome.exe                    2768 Console                    6     23.800 K
RuntimeBroker.exe            56588 Console                    6      8.612 K
dllhost.exe                  59696 Console                    6     11.484 K
cmd.exe                      57480 Console                    6      4.928 K
conhost.exe                  59604 Console                    6     16.204 K
tasklist.exe                 57728 Console                    6      9.688 K
